Grupo de edad,Sexo,fecha,numero
00  15 años,M,2020-03-24,1.0
15  29 años,M,2020-03-24,2.0
30  44 años,M,2020-03-24,9.0
45  59 años,M,2020-03-24,8.0
60  79 años,M,2020-03-24,11.0
80 y más años,M,2020-03-24,2.0
00  15 años,F,2020-03-24,1.0
15  29 años,F,2020-03-24,9.0
30  44 años,F,2020-03-24,7.0
45  59 años,F,2020-03-24,6.0
60  79 años,F,2020-03-24,5.0
80 y más años,F,2020-03-24,1.0
00  5 años,M,2020-03-24,
5  17 años,M,2020-03-24,
18  49 años,M,2020-03-24,
50  59 años,M,2020-03-24,
60  69 años,M,2020-03-24,
70  79 años,M,2020-03-24,
80 y más años,M,2020-03-24,
00  5 años,F,2020-03-24,
5  17 años,F,2020-03-24,
18  49 años,F,2020-03-24,
50  59 años,F,2020-03-24,
60  69 años,F,2020-03-24,
70  79 años,F,2020-03-24,
80 y más años,F,2020-03-24,
00  15 años,M,2020-03-25,1.0
15  29 años,M,2020-03-25,6.0
30  44 años,M,2020-03-25,26.0
45  59 años,M,2020-03-25,17.0
60  79 años,M,2020-03-25,22.0
80 y más años,M,2020-03-25,3.0
00  15 años,F,2020-03-25,1.0
15  29 años,F,2020-03-25,13.0
30  44 años,F,2020-03-25,20.0
45  59 años,F,2020-03-25,19.0
60  79 años,F,2020-03-25,12.0
80 y más años,F,2020-03-25,2.0
00  5 años,M,2020-03-25,
5  17 años,M,2020-03-25,
18  49 años,M,2020-03-25,
50  59 años,M,2020-03-25,
60  69 años,M,2020-03-25,
70  79 años,M,2020-03-25,
80 y más años,M,2020-03-25,
00  5 años,F,2020-03-25,
5  17 años,F,2020-03-25,
18  49 años,F,2020-03-25,
50  59 años,F,2020-03-25,
60  69 años,F,2020-03-25,
70  79 años,F,2020-03-25,
80 y más años,F,2020-03-25,
00  15 años,M,2020-03-26,1.0
15  29 años,M,2020-03-26,8.0
30  44 años,M,2020-03-26,28.0
45  59 años,M,2020-03-26,20.0
60  79 años,M,2020-03-26,25.0
80 y más años,M,2020-03-26,6.0
00  15 años,F,2020-03-26,1.0
15  29 años,F,2020-03-26,16.0
30  44 años,F,2020-03-26,24.0
45  59 años,F,2020-03-26,25.0
60  79 años,F,2020-03-26,17.0
80 y más años,F,2020-03-26,2.0
00  5 años,M,2020-03-26,
5  17 años,M,2020-03-26,
18  49 años,M,2020-03-26,
50  59 años,M,2020-03-26,
60  69 años,M,2020-03-26,
70  79 años,M,2020-03-26,
80 y más años,M,2020-03-26,
00  5 años,F,2020-03-26,
5  17 años,F,2020-03-26,
18  49 años,F,2020-03-26,
50  59 años,F,2020-03-26,
60  69 años,F,2020-03-26,
70  79 años,F,2020-03-26,
80 y más años,F,2020-03-26,
00  15 años,M,2020-03-27,1.0
15  29 años,M,2020-03-27,8.0
30  44 años,M,2020-03-27,34.0
45  59 años,M,2020-03-27,23.0
60  79 años,M,2020-03-27,28.0
80 y más años,M,2020-03-27,6.0
00  15 años,F,2020-03-27,1.0
15  29 años,F,2020-03-27,17.0
30  44 años,F,2020-03-27,26.0
45  59 años,F,2020-03-27,27.0
60  79 años,F,2020-03-27,25.0
80 y más años,F,2020-03-27,3.0
00  5 años,M,2020-03-27,
5  17 años,M,2020-03-27,
18  49 años,M,2020-03-27,
50  59 años,M,2020-03-27,
60  69 años,M,2020-03-27,
70  79 años,M,2020-03-27,
80 y más años,M,2020-03-27,
00  5 años,F,2020-03-27,
5  17 años,F,2020-03-27,
18  49 años,F,2020-03-27,
50  59 años,F,2020-03-27,
60  69 años,F,2020-03-27,
70  79 años,F,2020-03-27,
80 y más años,F,2020-03-27,
00  15 años,M,2020-03-28,1.0
15  29 años,M,2020-03-28,9.0
30  44 años,M,2020-03-28,42.0
45  59 años,M,2020-03-28,32.0
60  79 años,M,2020-03-28,32.0
80 y más años,M,2020-03-28,8.0
00  15 años,F,2020-03-28,1.0
15  29 años,F,2020-03-28,18.0
30  44 años,F,2020-03-28,26.0
45  59 años,F,2020-03-28,31.0
60  79 años,F,2020-03-28,32.0
80 y más años,F,2020-03-28,5.0
00  5 años,M,2020-03-28,
5  17 años,M,2020-03-28,
18  49 años,M,2020-03-28,
50  59 años,M,2020-03-28,
60  69 años,M,2020-03-28,
70  79 años,M,2020-03-28,
80 y más años,M,2020-03-28,
00  5 años,F,2020-03-28,
5  17 años,F,2020-03-28,
18  49 años,F,2020-03-28,
50  59 años,F,2020-03-28,
60  69 años,F,2020-03-28,
70  79 años,F,2020-03-28,
80 y más años,F,2020-03-28,
00  15 años,M,2020-03-29,1.0
15  29 años,M,2020-03-29,9.0
30  44 años,M,2020-03-29,43.0
45  59 años,M,2020-03-29,35.0
60  79 años,M,2020-03-29,35.0
80 y más años,M,2020-03-29,8.0
00  15 años,F,2020-03-29,2.0
15  29 años,F,2020-03-29,18.0
30  44 años,F,2020-03-29,28.0
45  59 años,F,2020-03-29,31.0
60  79 años,F,2020-03-29,32.0
80 y más años,F,2020-03-29,6.0
00  5 años,M,2020-03-29,
5  17 años,M,2020-03-29,
18  49 años,M,2020-03-29,
50  59 años,M,2020-03-29,
60  69 años,M,2020-03-29,
70  79 años,M,2020-03-29,
80 y más años,M,2020-03-29,
00  5 años,F,2020-03-29,
5  17 años,F,2020-03-29,
18  49 años,F,2020-03-29,
50  59 años,F,2020-03-29,
60  69 años,F,2020-03-29,
70  79 años,F,2020-03-29,
80 y más años,F,2020-03-29,
00  15 años,M,2020-03-30,1.0
15  29 años,M,2020-03-30,11.0
30  44 años,M,2020-03-30,46.0
45  59 años,M,2020-03-30,39.0
60  79 años,M,2020-03-30,36.0
80 y más años,M,2020-03-30,8.0
00  15 años,F,2020-03-30,2.0
15  29 años,F,2020-03-30,18.0
30  44 años,F,2020-03-30,30.0
45  59 años,F,2020-03-30,37.0
60  79 años,F,2020-03-30,37.0
80 y más años,F,2020-03-30,7.0
00  5 años,M,2020-03-30,
5  17 años,M,2020-03-30,
18  49 años,M,2020-03-30,
50  59 años,M,2020-03-30,
60  69 años,M,2020-03-30,
70  79 años,M,2020-03-30,
80 y más años,M,2020-03-30,
00  5 años,F,2020-03-30,
5  17 años,F,2020-03-30,
18  49 años,F,2020-03-30,
50  59 años,F,2020-03-30,
60  69 años,F,2020-03-30,
70  79 años,F,2020-03-30,
80 y más años,F,2020-03-30,
00  15 años,M,2020-03-31,1.0
15  29 años,M,2020-03-31,12.0
30  44 años,M,2020-03-31,49.0
45  59 años,M,2020-03-31,48.0
60  79 años,M,2020-03-31,43.0
80 y más años,M,2020-03-31,10.0
00  15 años,F,2020-03-31,2.0
15  29 años,F,2020-03-31,18.0
30  44 años,F,2020-03-31,36.0
45  59 años,F,2020-03-31,42.0
60  79 años,F,2020-03-31,45.0
80 y más años,F,2020-03-31,7.0
00  5 años,M,2020-03-31,
5  17 años,M,2020-03-31,
18  49 años,M,2020-03-31,
50  59 años,M,2020-03-31,
60  69 años,M,2020-03-31,
70  79 años,M,2020-03-31,
80 y más años,M,2020-03-31,
00  5 años,F,2020-03-31,
5  17 años,F,2020-03-31,
18  49 años,F,2020-03-31,
50  59 años,F,2020-03-31,
60  69 años,F,2020-03-31,
70  79 años,F,2020-03-31,
80 y más años,F,2020-03-31,
00  15 años,M,2020-04-01,1.0
15  29 años,M,2020-04-01,13.0
30  44 años,M,2020-04-01,52.0
45  59 años,M,2020-04-01,56.0
60  79 años,M,2020-04-01,55.0
80 y más años,M,2020-04-01,14.0
00  15 años,F,2020-04-01,2.0
15  29 años,F,2020-04-01,22.0
30  44 años,F,2020-04-01,39.0
45  59 años,F,2020-04-01,46.0
60  79 años,F,2020-04-01,52.0
80 y más años,F,2020-04-01,10.0
00  5 años,M,2020-04-01,
5  17 años,M,2020-04-01,
18  49 años,M,2020-04-01,
50  59 años,M,2020-04-01,
60  69 años,M,2020-04-01,
70  79 años,M,2020-04-01,
80 y más años,M,2020-04-01,
00  5 años,F,2020-04-01,
5  17 años,F,2020-04-01,
18  49 años,F,2020-04-01,
50  59 años,F,2020-04-01,
60  69 años,F,2020-04-01,
70  79 años,F,2020-04-01,
80 y más años,F,2020-04-01,
00  15 años,M,2020-04-02,1.0
15  29 años,M,2020-04-02,15.0
30  44 años,M,2020-04-02,54.0
45  59 años,M,2020-04-02,60.0
60  79 años,M,2020-04-02,57.0
80 y más años,M,2020-04-02,15.0
00  15 años,F,2020-04-02,2.0
15  29 años,F,2020-04-02,22.0
30  44 años,F,2020-04-02,40.0
45  59 años,F,2020-04-02,46.0
60  79 años,F,2020-04-02,54.0
80 y más años,F,2020-04-02,11.0
00  5 años,M,2020-04-02,
5  17 años,M,2020-04-02,
18  49 años,M,2020-04-02,
50  59 años,M,2020-04-02,
60  69 años,M,2020-04-02,
70  79 años,M,2020-04-02,
80 y más años,M,2020-04-02,
00  5 años,F,2020-04-02,
5  17 años,F,2020-04-02,
18  49 años,F,2020-04-02,
50  59 años,F,2020-04-02,
60  69 años,F,2020-04-02,
70  79 años,F,2020-04-02,
80 y más años,F,2020-04-02,
00  15 años,M,2020-04-03,1.0
15  29 años,M,2020-04-03,15.0
30  44 años,M,2020-04-03,64.0
45  59 años,M,2020-04-03,65.0
60  79 años,M,2020-04-03,70.0
80 y más años,M,2020-04-03,17.0
00  15 años,F,2020-04-03,2.0
15  29 años,F,2020-04-03,22.0
30  44 años,F,2020-04-03,46.0
45  59 años,F,2020-04-03,52.0
60  79 años,F,2020-04-03,65.0
80 y más años,F,2020-04-03,14.0
00  5 años,M,2020-04-03,
5  17 años,M,2020-04-03,
18  49 años,M,2020-04-03,
50  59 años,M,2020-04-03,
60  69 años,M,2020-04-03,
70  79 años,M,2020-04-03,
80 y más años,M,2020-04-03,
00  5 años,F,2020-04-03,
5  17 años,F,2020-04-03,
18  49 años,F,2020-04-03,
50  59 años,F,2020-04-03,
60  69 años,F,2020-04-03,
70  79 años,F,2020-04-03,
80 y más años,F,2020-04-03,
00  15 años,M,2020-04-04,1.0
15  29 años,M,2020-04-04,16.0
30  44 años,M,2020-04-04,70.0
45  59 años,M,2020-04-04,72.0
60  79 años,M,2020-04-04,86.0
80 y más años,M,2020-04-04,19.0
00  15 años,F,2020-04-04,2.0
15  29 años,F,2020-04-04,22.0
30  44 años,F,2020-04-04,50.0
45  59 años,F,2020-04-04,59.0
60  79 años,F,2020-04-04,74.0
80 y más años,F,2020-04-04,16.0
00  5 años,M,2020-04-04,
5  17 años,M,2020-04-04,
18  49 años,M,2020-04-04,
50  59 años,M,2020-04-04,
60  69 años,M,2020-04-04,
70  79 años,M,2020-04-04,
80 y más años,M,2020-04-04,
00  5 años,F,2020-04-04,
5  17 años,F,2020-04-04,
18  49 años,F,2020-04-04,
50  59 años,F,2020-04-04,
60  69 años,F,2020-04-04,
70  79 años,F,2020-04-04,
80 y más años,F,2020-04-04,
00  15 años,M,2020-04-05,1.0
15  29 años,M,2020-04-05,18.0
30  44 años,M,2020-04-05,75.0
45  59 años,M,2020-04-05,76.0
60  79 años,M,2020-04-05,90.0
80 y más años,M,2020-04-05,24.0
00  15 años,F,2020-04-05,2.0
15  29 años,F,2020-04-05,27.0
30  44 años,F,2020-04-05,54.0
45  59 años,F,2020-04-05,61.0
60  79 años,F,2020-04-05,81.0
80 y más años,F,2020-04-05,16.0
00  5 años,M,2020-04-05,
5  17 años,M,2020-04-05,
18  49 años,M,2020-04-05,
50  59 años,M,2020-04-05,
60  69 años,M,2020-04-05,
70  79 años,M,2020-04-05,
80 y más años,M,2020-04-05,
00  5 años,F,2020-04-05,
5  17 años,F,2020-04-05,
18  49 años,F,2020-04-05,
50  59 años,F,2020-04-05,
60  69 años,F,2020-04-05,
70  79 años,F,2020-04-05,
80 y más años,F,2020-04-05,
00  15 años,M,2020-04-06,1.0
15  29 años,M,2020-04-06,19.0
30  44 años,M,2020-04-06,82.0
45  59 años,M,2020-04-06,83.0
60  79 años,M,2020-04-06,94.0
80 y más años,M,2020-04-06,25.0
00  15 años,F,2020-04-06,3.0
15  29 años,F,2020-04-06,30.0
30  44 años,F,2020-04-06,56.0
45  59 años,F,2020-04-06,67.0
60  79 años,F,2020-04-06,84.0
80 y más años,F,2020-04-06,19.0
00  5 años,M,2020-04-06,
5  17 años,M,2020-04-06,
18  49 años,M,2020-04-06,
50  59 años,M,2020-04-06,
60  69 años,M,2020-04-06,
70  79 años,M,2020-04-06,
80 y más años,M,2020-04-06,
00  5 años,F,2020-04-06,
5  17 años,F,2020-04-06,
18  49 años,F,2020-04-06,
50  59 años,F,2020-04-06,
60  69 años,F,2020-04-06,
70  79 años,F,2020-04-06,
80 y más años,F,2020-04-06,
00  15 años,M,2020-04-07,2.0
15  29 años,M,2020-04-07,21.0
30  44 años,M,2020-04-07,84.0
45  59 años,M,2020-04-07,92.0
60  79 años,M,2020-04-07,103.0
80 y más años,M,2020-04-07,29.0
00  15 años,F,2020-04-07,3.0
15  29 años,F,2020-04-07,34.0
30  44 años,F,2020-04-07,60.0
45  59 años,F,2020-04-07,72.0
60  79 años,F,2020-04-07,92.0
80 y más años,F,2020-04-07,22.0
00  5 años,M,2020-04-07,
5  17 años,M,2020-04-07,
18  49 años,M,2020-04-07,
50  59 años,M,2020-04-07,
60  69 años,M,2020-04-07,
70  79 años,M,2020-04-07,
80 y más años,M,2020-04-07,
00  5 años,F,2020-04-07,
5  17 años,F,2020-04-07,
18  49 años,F,2020-04-07,
50  59 años,F,2020-04-07,
60  69 años,F,2020-04-07,
70  79 años,F,2020-04-07,
80 y más años,F,2020-04-07,
00  15 años,M,2020-04-08,2.0
15  29 años,M,2020-04-08,30.0
30  44 años,M,2020-04-08,95.0
45  59 años,M,2020-04-08,103.0
60  79 años,M,2020-04-08,121.0
80 y más años,M,2020-04-08,34.0
00  15 años,F,2020-04-08,4.0
15  29 años,F,2020-04-08,43.0
30  44 años,F,2020-04-08,70.0
45  59 años,F,2020-04-08,88.0
60  79 años,F,2020-04-08,108.0
80 y más años,F,2020-04-08,27.0
00  5 años,M,2020-04-08,
5  17 años,M,2020-04-08,
18  49 años,M,2020-04-08,
50  59 años,M,2020-04-08,
60  69 años,M,2020-04-08,
70  79 años,M,2020-04-08,
80 y más años,M,2020-04-08,
00  5 años,F,2020-04-08,
5  17 años,F,2020-04-08,
18  49 años,F,2020-04-08,
50  59 años,F,2020-04-08,
60  69 años,F,2020-04-08,
70  79 años,F,2020-04-08,
80 y más años,F,2020-04-08,
00  15 años,M,2020-04-09,4.0
15  29 años,M,2020-04-09,40.0
30  44 años,M,2020-04-09,104.0
45  59 años,M,2020-04-09,128.0
60  79 años,M,2020-04-09,145.0
80 y más años,M,2020-04-09,35.0
00  15 años,F,2020-04-09,7.0
15  29 años,F,2020-04-09,51.0
30  44 años,F,2020-04-09,80.0
45  59 años,F,2020-04-09,112.0
60  79 años,F,2020-04-09,123.0
80 y más años,F,2020-04-09,33.0
00  5 años,M,2020-04-09,
5  17 años,M,2020-04-09,
18  49 años,M,2020-04-09,
50  59 años,M,2020-04-09,
60  69 años,M,2020-04-09,
70  79 años,M,2020-04-09,
80 y más años,M,2020-04-09,
00  5 años,F,2020-04-09,
5  17 años,F,2020-04-09,
18  49 años,F,2020-04-09,
50  59 años,F,2020-04-09,
60  69 años,F,2020-04-09,
70  79 años,F,2020-04-09,
80 y más años,F,2020-04-09,
00  15 años,M,2020-04-10,5.0
15  29 años,M,2020-04-10,51.0
30  44 años,M,2020-04-10,126.0
45  59 años,M,2020-04-10,158.0
60  79 años,M,2020-04-10,174.0
80 y más años,M,2020-04-10,41.0
00  15 años,F,2020-04-10,7.0
15  29 años,F,2020-04-10,55.0
30  44 años,F,2020-04-10,93.0
45  59 años,F,2020-04-10,126.0
60  79 años,F,2020-04-10,138.0
80 y más años,F,2020-04-10,39.0
00  5 años,M,2020-04-10,
5  17 años,M,2020-04-10,
18  49 años,M,2020-04-10,
50  59 años,M,2020-04-10,
60  69 años,M,2020-04-10,
70  79 años,M,2020-04-10,
80 y más años,M,2020-04-10,
00  5 años,F,2020-04-10,
5  17 años,F,2020-04-10,
18  49 años,F,2020-04-10,
50  59 años,F,2020-04-10,
60  69 años,F,2020-04-10,
70  79 años,F,2020-04-10,
80 y más años,F,2020-04-10,
00  15 años,M,2020-04-11,7.0
15  29 años,M,2020-04-11,52.0
30  44 años,M,2020-04-11,131.0
45  59 años,M,2020-04-11,169.0
60  79 años,M,2020-04-11,190.0
80 y más años,M,2020-04-11,51.0
00  15 años,F,2020-04-11,7.0
15  29 años,F,2020-04-11,60.0
30  44 años,F,2020-04-11,105.0
45  59 años,F,2020-04-11,139.0
60  79 años,F,2020-04-11,151.0
80 y más años,F,2020-04-11,45.0
00  5 años,M,2020-04-11,
5  17 años,M,2020-04-11,
18  49 años,M,2020-04-11,
50  59 años,M,2020-04-11,
60  69 años,M,2020-04-11,
70  79 años,M,2020-04-11,
80 y más años,M,2020-04-11,
00  5 años,F,2020-04-11,
5  17 años,F,2020-04-11,
18  49 años,F,2020-04-11,
50  59 años,F,2020-04-11,
60  69 años,F,2020-04-11,
70  79 años,F,2020-04-11,
80 y más años,F,2020-04-11,
00  15 años,M,2020-04-12,8.0
15  29 años,M,2020-04-12,54.0
30  44 años,M,2020-04-12,135.0
45  59 años,M,2020-04-12,178.0
60  79 años,M,2020-04-12,198.0
80 y más años,M,2020-04-12,52.0
00  15 años,F,2020-04-12,8.0
15  29 años,F,2020-04-12,61.0
30  44 años,F,2020-04-12,111.0
45  59 años,F,2020-04-12,141.0
60  79 años,F,2020-04-12,161.0
80 y más años,F,2020-04-12,48.0
00  5 años,M,2020-04-12,
5  17 años,M,2020-04-12,
18  49 años,M,2020-04-12,
50  59 años,M,2020-04-12,
60  69 años,M,2020-04-12,
70  79 años,M,2020-04-12,
80 y más años,M,2020-04-12,
00  5 años,F,2020-04-12,
5  17 años,F,2020-04-12,
18  49 años,F,2020-04-12,
50  59 años,F,2020-04-12,
60  69 años,F,2020-04-12,
70  79 años,F,2020-04-12,
80 y más años,F,2020-04-12,
00  15 años,M,2020-04-13,8.0
15  29 años,M,2020-04-13,56.0
30  44 años,M,2020-04-13,140.0
45  59 años,M,2020-04-13,183.0
60  79 años,M,2020-04-13,203.0
80 y más años,M,2020-04-13,55.0
00  15 años,F,2020-04-13,10.0
15  29 años,F,2020-04-13,63.0
30  44 años,F,2020-04-13,113.0
45  59 años,F,2020-04-13,150.0
60  79 años,F,2020-04-13,163.0
80 y más años,F,2020-04-13,50.0
00  5 años,M,2020-04-13,
5  17 años,M,2020-04-13,
18  49 años,M,2020-04-13,
50  59 años,M,2020-04-13,
60  69 años,M,2020-04-13,
70  79 años,M,2020-04-13,
80 y más años,M,2020-04-13,
00  5 años,F,2020-04-13,
5  17 años,F,2020-04-13,
18  49 años,F,2020-04-13,
50  59 años,F,2020-04-13,
60  69 años,F,2020-04-13,
70  79 años,F,2020-04-13,
80 y más años,F,2020-04-13,
00  15 años,M,2020-04-14,8.0
15  29 años,M,2020-04-14,59.0
30  44 años,M,2020-04-14,154.0
45  59 años,M,2020-04-14,193.0
60  79 años,M,2020-04-14,216.0
80 y más años,M,2020-04-14,58.0
00  15 años,F,2020-04-14,11.0
15  29 años,F,2020-04-14,69.0
30  44 años,F,2020-04-14,118.0
45  59 años,F,2020-04-14,159.0
60  79 años,F,2020-04-14,172.0
80 y más años,F,2020-04-14,50.0
00  5 años,M,2020-04-14,
5  17 años,M,2020-04-14,
18  49 años,M,2020-04-14,
50  59 años,M,2020-04-14,
60  69 años,M,2020-04-14,
70  79 años,M,2020-04-14,
80 y más años,M,2020-04-14,
00  5 años,F,2020-04-14,
5  17 años,F,2020-04-14,
18  49 años,F,2020-04-14,
50  59 años,F,2020-04-14,
60  69 años,F,2020-04-14,
70  79 años,F,2020-04-14,
80 y más años,F,2020-04-14,
00  15 años,M,2020-04-15,11.0
15  29 años,M,2020-04-15,67.0
30  44 años,M,2020-04-15,167.0
45  59 años,M,2020-04-15,211.0
60  79 años,M,2020-04-15,235.0
80 y más años,M,2020-04-15,63.0
00  15 años,F,2020-04-15,11.0
15  29 años,F,2020-04-15,76.0
30  44 años,F,2020-04-15,133.0
45  59 años,F,2020-04-15,180.0
60  79 años,F,2020-04-15,190.0
80 y más años,F,2020-04-15,52.0
00  5 años,M,2020-04-15,
5  17 años,M,2020-04-15,
18  49 años,M,2020-04-15,
50  59 años,M,2020-04-15,
60  69 años,M,2020-04-15,
70  79 años,M,2020-04-15,
80 y más años,M,2020-04-15,
00  5 años,F,2020-04-15,
5  17 años,F,2020-04-15,
18  49 años,F,2020-04-15,
50  59 años,F,2020-04-15,
60  69 años,F,2020-04-15,
70  79 años,F,2020-04-15,
80 y más años,F,2020-04-15,
00  15 años,M,2020-04-16,12.0
15  29 años,M,2020-04-16,71.0
30  44 años,M,2020-04-16,191.0
45  59 años,M,2020-04-16,229.0
60  79 años,M,2020-04-16,267.0
80 y más años,M,2020-04-16,65.0
00  15 años,F,2020-04-16,13.0
15  29 años,F,2020-04-16,80.0
30  44 años,F,2020-04-16,150.0
45  59 años,F,2020-04-16,196.0
60  79 años,F,2020-04-16,208.0
80 y más años,F,2020-04-16,58.0
00  5 años,M,2020-04-16,
5  17 años,M,2020-04-16,
18  49 años,M,2020-04-16,
50  59 años,M,2020-04-16,
60  69 años,M,2020-04-16,
70  79 años,M,2020-04-16,
80 y más años,M,2020-04-16,
00  5 años,F,2020-04-16,
5  17 años,F,2020-04-16,
18  49 años,F,2020-04-16,
50  59 años,F,2020-04-16,
60  69 años,F,2020-04-16,
70  79 años,F,2020-04-16,
80 y más años,F,2020-04-16,
00  15 años,M,2020-04-17,16.0
15  29 años,M,2020-04-17,74.0
30  44 años,M,2020-04-17,198.0
45  59 años,M,2020-04-17,250.0
60  79 años,M,2020-04-17,279.0
80 y más años,M,2020-04-17,66.0
00  15 años,F,2020-04-17,15.0
15  29 años,F,2020-04-17,85.0
30  44 años,F,2020-04-17,154.0
45  59 años,F,2020-04-17,204.0
60  79 años,F,2020-04-17,215.0
80 y más años,F,2020-04-17,63.0
00  5 años,M,2020-04-17,
5  17 años,M,2020-04-17,
18  49 años,M,2020-04-17,
50  59 años,M,2020-04-17,
60  69 años,M,2020-04-17,
70  79 años,M,2020-04-17,
80 y más años,M,2020-04-17,
00  5 años,F,2020-04-17,
5  17 años,F,2020-04-17,
18  49 años,F,2020-04-17,
50  59 años,F,2020-04-17,
60  69 años,F,2020-04-17,
70  79 años,F,2020-04-17,
80 y más años,F,2020-04-17,
00  15 años,M,2020-04-18,20.0
15  29 años,M,2020-04-18,79.0
30  44 años,M,2020-04-18,205.0
45  59 años,M,2020-04-18,259.0
60  79 años,M,2020-04-18,291.0
80 y más años,M,2020-04-18,68.0
00  15 años,F,2020-04-18,16.0
15  29 años,F,2020-04-18,87.0
30  44 años,F,2020-04-18,161.0
45  59 años,F,2020-04-18,206.0
60  79 años,F,2020-04-18,216.0
80 y más años,F,2020-04-18,64.0
00  5 años,M,2020-04-18,
5  17 años,M,2020-04-18,
18  49 años,M,2020-04-18,
50  59 años,M,2020-04-18,
60  69 años,M,2020-04-18,
70  79 años,M,2020-04-18,
80 y más años,M,2020-04-18,
00  5 años,F,2020-04-18,
5  17 años,F,2020-04-18,
18  49 años,F,2020-04-18,
50  59 años,F,2020-04-18,
60  69 años,F,2020-04-18,
70  79 años,F,2020-04-18,
80 y más años,F,2020-04-18,
00  15 años,M,2020-04-19,21.0
15  29 años,M,2020-04-19,80.0
30  44 años,M,2020-04-19,207.0
45  59 años,M,2020-04-19,261.0
60  79 años,M,2020-04-19,293.0
80 y más años,M,2020-04-19,73.0
00  15 años,F,2020-04-19,16.0
15  29 años,F,2020-04-19,89.0
30  44 años,F,2020-04-19,164.0
45  59 años,F,2020-04-19,209.0
60  79 años,F,2020-04-19,218.0
80 y más años,F,2020-04-19,65.0
00  5 años,M,2020-04-19,
5  17 años,M,2020-04-19,
18  49 años,M,2020-04-19,
50  59 años,M,2020-04-19,
60  69 años,M,2020-04-19,
70  79 años,M,2020-04-19,
80 y más años,M,2020-04-19,
00  5 años,F,2020-04-19,
5  17 años,F,2020-04-19,
18  49 años,F,2020-04-19,
50  59 años,F,2020-04-19,
60  69 años,F,2020-04-19,
70  79 años,F,2020-04-19,
80 y más años,F,2020-04-19,
00  15 años,M,2020-04-20,21.0
15  29 años,M,2020-04-20,85.0
30  44 años,M,2020-04-20,214.0
45  59 años,M,2020-04-20,267.0
60  79 años,M,2020-04-20,305.0
80 y más años,M,2020-04-20,76.0
00  15 años,F,2020-04-20,16.0
15  29 años,F,2020-04-20,91.0
30  44 años,F,2020-04-20,170.0
45  59 años,F,2020-04-20,212.0
60  79 años,F,2020-04-20,231.0
80 y más años,F,2020-04-20,72.0
00  5 años,M,2020-04-20,
5  17 años,M,2020-04-20,
18  49 años,M,2020-04-20,
50  59 años,M,2020-04-20,
60  69 años,M,2020-04-20,
70  79 años,M,2020-04-20,
80 y más años,M,2020-04-20,
00  5 años,F,2020-04-20,
5  17 años,F,2020-04-20,
18  49 años,F,2020-04-20,
50  59 años,F,2020-04-20,
60  69 años,F,2020-04-20,
70  79 años,F,2020-04-20,
80 y más años,F,2020-04-20,
00  15 años,M,2020-04-22,
15  29 años,M,2020-04-22,
30  44 años,M,2020-04-22,
45  59 años,M,2020-04-22,
60  79 años,M,2020-04-22,
80 y más años,M,2020-04-22,
00  15 años,F,2020-04-22,
15  29 años,F,2020-04-22,
30  44 años,F,2020-04-22,
45  59 años,F,2020-04-22,
60  79 años,F,2020-04-22,
80 y más años,F,2020-04-22,
00  5 años,M,2020-04-22,11.0
5  17 años,M,2020-04-22,15.0
18  49 años,M,2020-04-22,381.0
50  59 años,M,2020-04-22,199.0
60  69 años,M,2020-04-22,174.0
70  79 años,M,2020-04-22,153.0
80 y más años,M,2020-04-22,76.0
00  5 años,F,2020-04-22,8.0
5  17 años,F,2020-04-22,14.0
18  49 años,F,2020-04-22,307.0
50  59 años,F,2020-04-22,164.0
60  69 años,F,2020-04-22,123.0
70  79 años,F,2020-04-22,119.0
80 y más años,F,2020-04-22,75.0
00  15 años,M,2020-04-23,
15  29 años,M,2020-04-23,
30  44 años,M,2020-04-23,
45  59 años,M,2020-04-23,
60  79 años,M,2020-04-23,
80 y más años,M,2020-04-23,
00  15 años,F,2020-04-23,
15  29 años,F,2020-04-23,
30  44 años,F,2020-04-23,
45  59 años,F,2020-04-23,
60  79 años,F,2020-04-23,
80 y más años,F,2020-04-23,
00  5 años,M,2020-04-23,12.0
5  17 años,M,2020-04-23,15.0
18  49 años,M,2020-04-23,392.0
50  59 años,M,2020-04-23,205.0
60  69 años,M,2020-04-23,177.0
70  79 años,M,2020-04-23,157.0
80 y más años,M,2020-04-23,80.0
00  5 años,F,2020-04-23,10.0
5  17 años,F,2020-04-23,14.0
18  49 años,F,2020-04-23,311.0
50  59 años,F,2020-04-23,164.0
60  69 años,F,2020-04-23,128.0
70  79 años,F,2020-04-23,123.0
80 y más años,F,2020-04-23,82.0
00  15 años,M,2020-04-24,
15  29 años,M,2020-04-24,
30  44 años,M,2020-04-24,
45  59 años,M,2020-04-24,
60  79 años,M,2020-04-24,
80 y más años,M,2020-04-24,
00  15 años,F,2020-04-24,
15  29 años,F,2020-04-24,
30  44 años,F,2020-04-24,
45  59 años,F,2020-04-24,
60  79 años,F,2020-04-24,
80 y más años,F,2020-04-24,
00  5 años,M,2020-04-24,12.0
5  17 años,M,2020-04-24,15.0
18  49 años,M,2020-04-24,396.0
50  59 años,M,2020-04-24,210.0
60  69 años,M,2020-04-24,182.0
70  79 años,M,2020-04-24,158.0
80 y más años,M,2020-04-24,81.0
00  5 años,F,2020-04-24,11.0
5  17 años,F,2020-04-24,14.0
18  49 años,F,2020-04-24,316.0
50  59 años,F,2020-04-24,168.0
