year,week,age_group,subtype_a_abs,subtype_b_abs,hsp_abs_flu,hsp_abs_rsv,hsp_rate
2016,1,ALL,6,2,8,6,NA
2016,2,ALL,18,3,21,13,NA
2016,3,ALL,34,8,42,10,NA
2016,4,ALL,42,22,64,13,NA
2016,5,ALL,55,16,71,16,NA
2016,6,ALL,50,31,81,10,NA
2016,7,ALL,46,47,93,17,NA
2016,8,ALL,69,67,136,14,NA
2016,9,ALL,59,84,143,16,NA
2016,10,ALL,50,99,149,18,NA
2016,11,ALL,31,94,125,12,NA
2016,12,ALL,35,80,115,11,NA
2016,13,ALL,13,47,60,12,NA
2016,14,ALL,9,48,57,7,NA
2016,15,ALL,10,21,31,4,NA
2016,16,ALL,0,9,9,3,NA
2016,17,ALL,0,8,8,2,NA
2016,18,ALL,1,6,7,4,NA
2016,19,ALL,0,1,1,0,NA
2016,20,ALL,0,2,2,2,NA
2016,21,ALL,0,0,0,1,NA
2016,22,ALL,0,0,0,1,NA
2016,23,ALL,0,0,0,0,NA
2016,24,ALL,1,0,1,0,NA
2016,25,ALL,0,0,0,0,NA
2016,26,ALL,0,0,0,0,NA
2016,27,ALL,0,0,0,0,NA
2016,28,ALL,0,0,0,0,NA
2016,29,ALL,1,0,1,0,NA
2016,30,ALL,0,0,0,1,NA
2016,31,ALL,0,0,0,0,NA
2016,32,ALL,0,0,0,0,NA
2016,33,ALL,0,0,0,0,NA
2016,34,ALL,1,0,1,0,NA
2016,35,ALL,0,0,0,0,NA
2016,36,ALL,0,0,0,1,NA
2016,37,ALL,1,0,1,0,NA
2016,38,ALL,0,0,0,0,NA
2016,39,ALL,0,0,0,0,NA
2016,40,ALL,0,0,0,0,NA
2016,41,ALL,0,0,0,1,NA
2016,42,ALL,0,0,0,1,NA
2016,43,ALL,1,0,1,1,NA
2016,44,ALL,0,0,0,3,NA
2016,45,ALL,2,0,2,8,NA
2016,46,ALL,7,0,7,5,NA
2016,47,ALL,5,3,8,7,NA
2016,48,ALL,2,0,2,7,NA
2016,49,ALL,12,0,12,10,NA
2016,50,ALL,23,0,23,21,NA
2016,51,ALL,38,0,38,25,NA
2016,52,ALL,22,0,22,20,NA
2017,1,ALL,54,0,54,27,NA
2017,2,ALL,85,1,86,45,NA
2017,3,ALL,143,0,143,27,NA
2017,4,ALL,163,3,166,38,NA
2017,5,ALL,190,4,194,37,NA
2017,6,ALL,185,3,188,39,NA
2017,7,ALL,158,12,170,31,NA
